class_code,class_number, class_name,Fall 2018,Winter 2020,Spring 2019,Summer 2019,Fall 2019,Winter 2020,Spring 2020,Summer 2020,Fall 2020,Winter 2021,Spring 2021,Summer 2021,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023
CMSC,677,Agent Arch/Multi-Agt Sys,,,,,,,,,,,,,,,,,,,,,
CMSC,678,Intro Machine Learning,2,,2,,1,,2,,1,,1,,1,,1,,2,,1,,2
CMSC,679,Intro To Robotics,,,,,,,1,,,,1,,,,,,,,,,
CMSC,681,Advanced Comp Networks,1,,,,1,,,,1,,,,1,,,,1,,,,
CMSC,682,Networking Technol,,,2,,,,1,,,,1,,,,1,,,,1,,
CMSC,684,Wireless Sensor Networks,1,,,,,,1,,,,2,,,,,,1,,,,
CMSC,687,Intro Network Security,,,1,,,,2,,,,1,,,,1,,1,,1,,1
CMSC,688,Software Reverse Engineering,,,,,,,,,,,,,,,,,1,,,,1
CMSC,691,Spec Topics In Comp Sci,7,,4,,7,,7,,5,,6,,8,,8,,8,,6,,5
CMSC,696,Internship And Coop,,,,,,,,,,,,,,,1,1,1,,1,1,1
CMSC,698,Proj In Computer Science,3,,7,1,7,,10,,4,,6,,1,,3,,1,,8,,
CMSC,699,Ind Study In Comp Sci,11,,11,,6,,13,3,13,,12,2,6,,16,3,16,,19,1,5
CMSC,7700,Master's Special Study,,,1,,1,,2,,1,,1,,1,,1,,1,,,,
CMSC,791,Adv Graduate Seminar,1,,,,1,,,,1,,,,,,,,,,,,
CMSC,799,Master's Thesis Research,11,,15,,13,,13,1,14,,12,1,9,,10,1,9,,10,,1
CMSC,871,Adv Top Artifcial Intell,1,,,,1,,,,,,,,,,,,,,,,
CMSC,8800,Doctoral Special Study,,,,,,,1,,,,1,,,,1,,,,,,
CMSC,898,Pre Doc Candidacy Rsch,14,,15,1,17,,16,,16,,18,,18,,14,,10,,10,1,2
CMSC,899,Doctoral Diss Research,13,,11,3,11,,9,1,12,,14,2,16,,14,4,14,,15,,3
