,,,Summer 2009,Fall 2009,Spring 2010,Summer 2010,Fall 2010,Spring 2011,Summer 2011,Fall 2011,Spring 2012,Summer 2012,Fall 2012,Spring 2013,Summer 2013,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Winter 2017,Spring 2017,Summer 2017,Fall 2017,Winter 2018,Spring 2018,Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Winter 2020,Spring 2020,Summer 2020,Fall 2020,Winter 2021,Spring 2021,Summer 2021,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023
CMSC,202H,Computer Science II - Honors,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,203,Discrete Structures,1,3,3,1,4,4,1,4,4,1,5,4,1,5,4,1,5,5,1,5,6,1,5,,6,1,5,,6,1,4,6,1,4,,6,1,4,,7,1,4,,6,1,4,,6,1,5
CMSC,203H,Discrete Structures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
CMSC,210,Advanced Computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
CMSC,291,Special Topics In CMSC,,1,,,1,,,,,,1,,,1,,,,,,,,,,1,,1,,1,,1,,,,1,,1,,1,,1,,,,,,,,,,
CMSC,299,Ind Study:Computer Sci,,1,1,,,,,1,,,,1,,,,,1,,,1,,,1,,,,,,,,1,,,1,,,,,,,,,,1,1,1,,1,,
CMSC,304,Social/Ethical Iss In IT,,1,1,1,1,1,,1,1,,1,2,,1,2,,2,2,,3,3,1,3,,3,1,4,,4,,4,6,1,6,,6,,6,,6,1,8,,5,1,7,,8,1,7
CMSC,313,Comp Organ & Assemb Lang,,2,2,,2,2,,2,2,,2,2,,3,2,,3,3,,4,3,,4,,4,,4,,4,,4,4,,4,,5,,6,,5,1,6,,6,1,6,,6,1,5
CMSC,331,Prin Of Prog Languages,1,2,2,1,2,1,,1,2,1,2,2,1,3,2,,3,3,,5,3,,5,,3,,5,,4,,3,4,1,4,,4,1,4,,5,1,7,,6,1,5,,6,1,5
CMSC,340,Advanced C++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,2
CMSC,341,Data Structures,,3,3,,3,3,,3,4,,4,4,,4,4,,5,4,,6,4,,6,,5,,8,,6,,7,6,,7,,6,1,9,,6,1,9,,6,1,8,,5,1,8
CMSC,341H,Data Structures,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,345,Software Design/Develop,,2,2,,2,2,,2,3,,3,3,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,352,"Women,Gender & Info Technology",,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,,
CMSC,391,Special Topics In CMSC,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,,1,,1
CMSC,396,Undergrad Teaching Fellowship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,1,,2,,2,,1
CMSC,411,Computer Architecture,,2,2,,2,2,,2,2,,2,2,,2,3,,3,2,,3,3,1,3,,4,1,3,,4,,4,4,1,5,,5,1,5,,5,1,8,,6,1,7,,6,1,6
CMSC,421,Princ Of Operating Systems,,2,1,,1,1,,1,2,,2,3,,2,3,,3,2,,4,3,,4,,3,,4,,3,,4,4,,5,,4,,5,,5,1,5,,6,,5,,4,,5
CMSC,426,Princ Computer Security,,1,,,1,,,,1,,,,,1,,,2,1,,2,1,,1,,1,1,1,,2,,2,3,,2,,2,1,3,,3,1,5,,4,1,4,,3,1,4
CMSC,427,Wearable Computing,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,431,Compiler Design Princ,,1,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,432,Object-Orient Program,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,433,Scripting Languages,,,1,,,,,,1,,,1,,,1,,1,1,,1,1,,,,2,,1,,1,,,,1,,,,1,,,,1,,,,1,,,,1,
CMSC,435,Computer Graphics,,1,1,,1,,,1,1,,1,1,,1,1,1,1,1,,1,1,,1,,1,,1,,,,1,1,,1,,1,,1,,1,,1,,1,,1,,1,,1
CMSC,436,Data Visualization,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,1,,,,1,,,,1,,,,2,,1,,1
CMSC,436H,Data Visualization Honors,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
CMSC,437,Graphical User Interface Prog,1,,,1,,,,,,,,,1,,,,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,1,1,,1,1,1,,1,1,
CMSC,441,Design& Analysis of Algorithms,,2,2,,2,2,,2,2,,2,1,,2,2,,2,2,,3,2,,3,,3,,4,,3,,4,3,,4,,5,,5,,4,,6,,8,,7,,6,,7
CMSC,442,Infomation & Coding Theory,,,1,,,,,1,,,,,,,,,1,,,1,,,1,,,,1,,,,1,,,,,,,,,1,,,,2,,,,1,,
CMSC,443,Cryptology,,,1,,,1,,,1,,,1,,,1,,,1,,1,1,,1,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,
CMSC,444,Information Assurance,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,445,Software Engineering II,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,446,Design Patterns,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,447,Software Engineering I,,,,,,,,,,,,,,,1,,1,2,,2,3,,3,,4,,3,,4,,4,4,,5,,5,,6,,5,,6,,7,,6,,7,,4
CMSC,448,Software Engineering II,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
